time,open,high,low,close
2026-02-23T20:00:00+03:00,1883.89,1887.24,1855.17,1855.28
2026-02-23T20:30:00+03:00,1855.28,1863.81,1836.08,1862.85
2026-02-23T21:00:00+03:00,1862.85,1869.66,1855.24,1859.6
2026-02-23T21:30:00+03:00,1859.6,1873.26,1853.47,1856.5
2026-02-23T22:00:00+03:00,1856.5,1863.56,1849,1852.46
2026-02-23T22:30:00+03:00,1852.46,1857.2,1845.66,1856.12
2026-02-23T23:00:00+03:00,1856.12,1858.95,1845.54,1849.31
2026-02-23T23:30:00+03:00,1849.31,1861.54,1849.11,1859.7
2026-02-24T00:00:00+03:00,1859.7,1868.26,1858.98,1863.87
2026-02-24T00:30:00+03:00,1863.87,1865.89,1857.44,1862.44
2026-02-24T01:00:00+03:00,1862.44,1868.97,1860.75,1866.02
2026-02-24T01:30:00+03:00,1866.02,1867.63,1858.6,1858.95
2026-02-24T02:00:00+03:00,1858.95,1866.22,1858.51,1860.6
2026-02-24T02:30:00+03:00,1860.6,1861.15,1849.91,1855.26
2026-02-24T03:00:00+03:00,1855.26,1867.29,1853.99,1862.28
2026-02-24T03:30:00+03:00,1862.28,1868.71,1860.93,1866.99
2026-02-24T04:00:00+03:00,1866.99,1867.06,1810.13,1848.7
2026-02-24T04:30:00+03:00,1848.7,1856.3,1837.74,1839.55
2026-02-24T05:00:00+03:00,1839.55,1847.4,1835.68,1846.46
2026-02-24T05:30:00+03:00,1846.46,1853.82,1840.01,1842.4
2026-02-24T06:00:00+03:00,1842.4,1842.4,1823.1,1829.86
2026-02-24T06:30:00+03:00,1829.86,1833.92,1821.39,1830.75
2026-02-24T07:00:00+03:00,1830.75,1832.89,1812.41,1828.2
2026-02-24T07:30:00+03:00,1828.2,1831.21,1819.44,1829.59
2026-02-24T08:00:00+03:00,1829.59,1839.7,1812.59,1817.29
2026-02-24T08:30:00+03:00,1817.29,1826.49,1815.21,1825.07
2026-02-24T09:00:00+03:00,1825.07,1829.47,1817.89,1827.61
2026-02-24T09:30:00+03:00,1827.61,1830.28,1816.56,1819.61
2026-02-24T10:00:00+03:00,1819.61,1829.62,1813.67,1829
2026-02-24T10:30:00+03:00,1829,1830.87,1820.43,1824.7
2026-02-24T11:00:00+03:00,1824.7,1830.35,1817.17,1829.13
2026-02-24T11:30:00+03:00,1829.13,1835.46,1828,1830.39
2026-02-24T12:00:00+03:00,1830.39,1833.77,1820.61,1823.46
2026-02-24T12:30:00+03:00,1823.46,1826.12,1814,1826.11
2026-02-24T13:00:00+03:00,1826.11,1827.45,1821.7,1825.19
2026-02-24T13:30:00+03:00,1825.19,1828.94,1819.37,1824.91
2026-02-24T14:00:00+03:00,1824.91,1826.54,1818.31,1820.8
2026-02-24T14:30:00+03:00,1820.8,1826.6,1817.2,1825.65
2026-02-24T15:00:00+03:00,1825.65,1829.38,1821.31,1827.29
2026-02-24T15:30:00+03:00,1827.29,1828.1,1819.91,1823.04
2026-02-24T16:00:00+03:00,1823.04,1826.61,1817.46,1819.85
2026-02-24T16:30:00+03:00,1819.85,1822.23,1797,1814.67
2026-02-24T17:00:00+03:00,1814.67,1818.26,1804.02,1813.68
2026-02-24T17:30:00+03:00,1813.68,1847.54,1802.33,1833.57
2026-02-24T18:00:00+03:00,1833.57,1849.59,1826.91,1847.98
2026-02-24T18:30:00+03:00,1847.98,1849.3,1839.42,1846.39
2026-02-24T19:00:00+03:00,1846.39,1862.58,1845.4,1848.76
2026-02-24T19:30:00+03:00,1848.76,1858.99,1836.58,1857.74
2026-02-24T20:00:00+03:00,1857.74,1864.55,1854.18,1855.25
2026-02-24T20:30:00+03:00,1855.25,1857.52,1848.55,1854.13
2026-02-24T21:00:00+03:00,1854.13,1859.58,1844.24,1850
2026-02-24T21:30:00+03:00,1850,1859.61,1849.2,1853.92
2026-02-24T22:00:00+03:00,1853.92,1861.73,1845.36,1848.74
2026-02-24T22:30:00+03:00,1848.74,1855.84,1847.94,1851.44
2026-02-24T23:00:00+03:00,1851.44,1858.23,1848.14,1856.09
2026-02-24T23:30:00+03:00,1856.09,1861.31,1853.07,1857.41
2026-02-25T00:00:00+03:00,1857.41,1857.41,1844.23,1846.7
2026-02-25T00:30:00+03:00,1846.7,1853.98,1845.28,1853.06
2026-02-25T01:00:00+03:00,1853.06,1863.63,1851.78,1858.14
2026-02-25T01:30:00+03:00,1858.14,1860.24,1853.63,1859.84
2026-02-25T02:00:00+03:00,1859.84,1859.84,1851.01,1856.84
2026-02-25T02:30:00+03:00,1856.84,1859.87,1850.25,1851.05
2026-02-25T03:00:00+03:00,1851.05,1851.78,1845.45,1846.24
2026-02-25T03:30:00+03:00,1846.24,1856.98,1846.23,1850.94
2026-02-25T04:00:00+03:00,1850.94,1924,1849.48,1909.61
