Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
226,Entry long,2025-09-23 05:30,L_3,45.943,3.512,161.351816,9.57,5.93,9.91,6.14,-2.36,-1.46,371.33,37.13
227,Exit long,2025-09-23 22:45,Long Cond SL,44.58,3.026,145.266156,-10.51,-7.23,1.65,1.14,-10.77,-7.41,360.64,36.06
227,Entry long,2025-09-23 13:15,buy,48.006,3.026,145.266156,-10.51,-7.23,1.65,1.14,-10.77,-7.41,360.64,36.06
228,Exit long,2025-09-23 22:45,Long Cond SL,44.58,3.508,165.675824,-9.45,-5.70,1.6,0.97,-9.76,-5.89,351.27,35.13
228,Entry long,2025-09-23 17:45,L_2,47.228,3.508,165.675824,-9.45,-5.70,1.6,0.97,-9.76,-5.89,351.27,35.13
229,Exit long,2025-09-23 22:45,Long Cond SL,44.58,4.107,188.876823,-5.97,-3.16,0.19,0.10,-6.33,-3.35,345.4,34.54
229,Entry long,2025-09-23 21:30,L_3,45.989,4.107,188.876823,-5.97,-3.16,0.19,0.10,-6.33,-3.35,345.4,34.54
230,Exit long,2025-09-24 14:15,Long Trail,45.373,3.261,145.274289,2.54,1.75,3.62,2.49,-4.25,-2.92,347.85,34.79
230,Entry long,2025-09-24 02:30,buy,44.549,3.261,145.274289,2.54,1.75,3.62,2.49,-4.25,-2.92,347.85,34.79
231,Exit long,2025-09-24 14:15,Long Trail,45.373,3.781,165.709887,5.68,3.42,6.02,3.63,-2.2,-1.32,353.61,35.36
231,Entry long,2025-09-24 07:00,L_2,43.827,3.781,165.709887,5.68,3.42,6.02,3.63,-2.2,-1.32,353.61,35.36
232,Exit long,2025-09-24 23:15,Long Trail,46.253,3.226,145.237746,3.83,2.63,4.13,2.84,-0.6,-0.42,357.44,35.74
232,Entry long,2025-09-24 19:15,buy,45.021,3.226,145.237746,3.83,2.63,4.13,2.84,-0.6,-0.42,357.44,35.74
233,Exit long,2025-09-25 14:15,Long Cond SL,42.16,3.186,145.243368,-11.06,-7.61,1.33,0.91,-12.04,-8.28,346.2,34.62
233,Entry long,2025-09-25 02:30,buy,45.588,3.186,145.243368,-11.06,-7.61,1.33,0.91,-12.04,-8.28,346.2,34.62
234,Exit long,2025-09-25 14:15,Long Cond SL,42.16,3.694,165.6759,-10.1,-6.09,0.59,0.36,-11.23,-6.78,336.19,33.62
234,Entry long,2025-09-25 04:30,L_2,44.85,3.694,165.6759,-10.1,-6.09,0.59,0.36,-11.23,-6.78,336.19,33.62
235,Exit long,2025-09-25 14:15,Long Cond SL,42.16,4.325,188.885725,-6.73,-3.56,0.58,0.30,-8.06,-4.26,329.55,32.96
235,Entry long,2025-09-25 06:15,L_3,43.673,4.325,188.885725,-6.73,-3.56,0.58,0.30,-8.06,-4.26,329.55,32.96
236,Exit long,2025-09-25 21:30,Long Trail,42.809,3.475,145.255,3.36,2.31,3.66,2.52,-3.77,-2.59,332.83,33.28
236,Entry long,2025-09-25 15:00,buy,41.8,3.475,145.255,3.36,2.31,3.66,2.52,-3.77,-2.59,332.83,33.28
237,Exit long,2025-09-25 21:30,Long Trail,42.809,4.029,165.684567,6.62,4.00,6.97,4.20,-1.64,-0.99,339.54,33.95
237,Entry long,2025-09-25 15:15,L_2,41.123,4.029,165.684567,6.62,4.00,6.97,4.20,-1.64,-0.99,339.54,33.95
238,Exit long,2025-09-26 00:00,Long Trail,43.417,3.462,145.272444,4.89,3.36,5.19,3.57,-2.54,-1.75,344.34,34.43
238,Entry long,2025-09-25 23:15,buy,41.962,3.462,145.272444,4.89,3.36,5.19,3.57,-2.54,-1.75,344.34,34.43
239,Exit long,2025-09-26 00:00,Long Trail,43.417,4.014,165.709962,8.4,5.06,8.74,5.27,-0.22,-0.13,352.82,35.28
239,Entry long,2025-09-25 23:30,L_2,41.283,4.014,165.709962,8.4,5.06,8.74,5.27,-0.22,-0.13,352.82,35.28
240,Exit long,2025-09-26 04:00,Long Trail,42.487,3.505,145.243695,3.53,2.43,3.82,2.63,-6.16,-4.24,356.26,35.63
240,Entry long,2025-09-26 00:45,buy,41.439,3.505,145.243695,3.53,2.43,3.82,2.63,-6.16,-4.24,356.26,35.63
241,Exit long,2025-09-26 04:00,Long Trail,42.487,4.064,165.677088,6.82,4.11,7.17,4.32,-4.41,-2.66,363.17,36.32
241,Entry long,2025-09-26 01:45,L_2,40.767,4.064,165.677088,6.82,4.11,7.17,4.32,-4.41,-2.66,363.17,36.32
242,Exit long,2025-09-26 16:30,Long Trail,43.253,3.437,145.264805,3.25,2.24,3.55,2.44,-5.28,-3.64,366.33,36.63
242,Entry long,2025-09-26 08:30,buy,42.265,3.437,145.264805,3.25,2.24,3.55,2.44,-5.28,-3.64,366.33,36.63
243,Exit long,2025-09-26 16:30,Long Trail,43.253,3.985,165.6963,6.5,3.92,6.84,4.13,-3.39,-2.05,372.91,37.29
243,Entry long,2025-09-26 13:00,L_2,41.58,3.985,165.6963,6.5,3.92,6.84,4.13,-3.39,-2.05,372.91,37.29
244,Exit long,2025-09-27 16:30,Long Trail,45.778,3.243,145.270185,3.04,2.09,3.34,2.30,-5.68,-3.91,375.87,37.59
244,Entry long,2025-09-26 22:45,buy,44.795,3.243,145.270185,3.04,2.09,3.34,2.30,-5.68,-3.91,375.87,37.59
245,Exit long,2025-09-27 16:30,Long Trail,45.778,3.76,165.69944,6.26,3.77,6.6,3.98,-3.85,-2.32,382.21,38.22
245,Entry long,2025-09-27 06:00,L_2,44.069,3.76,165.69944,6.26,3.77,6.6,3.98,-3.85,-2.32,382.21,38.22
246,Exit long,2025-09-28 20:00,Long Trail,45.913,3.196,145.270984,1.32,0.91,1.61,1.11,-8.32,-5.72,383.36,38.34
246,Entry long,2025-09-28 02:30,buy,45.454,3.196,145.270984,1.32,0.91,1.61,1.11,-8.32,-5.72,383.36,38.34
247,Exit long,2025-09-28 20:00,Long Trail,45.913,1.142,51.067956,1.31,2.57,1.42,2.78,-2.13,-4.17,384.69,38.47
247,Entry long,2025-09-28 06:15,L_2,44.718,1.142,51.067956,1.31,2.57,1.42,2.78,-2.13,-4.17,384.69,38.47
248,Exit long,2025-09-28 20:00,Long Trail,45.913,2.563,114.612234,2.95,2.57,3.18,2.78,-4.78,-4.17,387.7,38.77
248,Entry long,2025-09-28 06:15,L_2,44.718,2.563,114.612234,2.95,2.57,3.18,2.78,-4.78,-4.17,387.7,38.77
249,Exit long,2025-09-28 20:00,Long Trail,45.913,0.633,27.563985,1.47,5.33,1.53,5.54,-0.44,-1.59,389.18,38.92
249,Entry long,2025-09-28 14:15,L_3,43.545,0.633,27.563985,1.47,5.33,1.53,5.54,-0.44,-1.59,389.18,38.92
250,Exit long,2025-09-28 20:00,Long Trail,45.913,3.705,161.334225,8.61,5.33,8.95,5.54,-2.57,-1.59,397.87,39.79
250,Entry long,2025-09-28 14:15,L_3,43.545,3.705,161.334225,8.61,5.33,8.95,5.54,-2.57,-1.59,397.87,39.79
251,Exit long,2025-09-29 11:45,Long Trail,48.023,3.108,145.258596,3.85,2.65,4.15,2.86,-0.3,-0.20,401.72,40.17
251,Entry long,2025-09-29 06:15,buy,46.737,3.108,145.258596,3.85,2.65,4.15,2.86,-0.3,-0.20,401.72,40.17
252,Exit long,2025-09-29 17:45,Long Trail,47.781,3.105,145.23948,2.97,2.05,3.27,2.25,-3.27,-2.25,404.61,40.46
252,Entry long,2025-09-29 13:45,buy,46.776,3.105,145.23948,2.97,2.05,3.27,2.25,-3.27,-2.25,404.61,40.46
253,Exit long,2025-09-29 17:45,Long Trail,47.781,3.601,165.714419,6.18,3.73,6.52,3.93,-1.07,-0.65,410.87,41.09
253,Entry long,2025-09-29 14:15,L_2,46.019,3.601,165.714419,6.18,3.73,6.52,3.93,-1.07,-0.65,410.87,41.09
254,Exit long,2025-10-01 11:00,Long Cond TP,45.779,3.127,145.274166,-2.27,-1.56,1.93,1.33,-9.34,-6.42,408.43,40.84
254,Entry long,2025-09-29 19:45,buy,46.458,3.127,145.274166,-2.27,-1.56,1.93,1.33,-9.34,-6.42,408.43,40.84
255,Exit long,2025-10-01 11:00,Long Cond TP,45.779,3.625,165.680625,0.1,0.06,4.97,3.00,-8.09,-4.88,408.61,40.86
255,Entry long,2025-09-29 20:00,L_2,45.705,3.625,165.680625,0.1,0.06,4.97,3.00,-8.09,-4.88,408.61,40.86
256,Exit long,2025-10-01 11:00,Long Cond TP,45.779,4.244,188.883464,5.21,2.76,8.3,4.39,-4.39,-2.32,413.92,41.39
256,Entry long,2025-09-30 07:15,L_3,44.506,4.244,188.883464,5.21,2.76,8.3,4.39,-4.39,-2.32,413.92,41.39
257,Exit long,2025-10-02 04:30,Long Cond TP,48.587,3.097,145.270979,5.06,3.48,5.3,3.64,-1.94,-1.33,418.97,41.90
257,Entry long,2025-10-01 21:00,buy,46.907,3.097,145.270979,5.06,3.48,5.3,3.64,-1.94,-1.33,418.97,41.90
258,Exit long,2025-10-02 21:15,Long Trail,50.032,2.986,145.2689,3.98,2.74,4.28,2.95,-0.37,-0.26,422.95,42.30
258,Entry long,2025-10-02 10:45,buy,48.65,2.986,145.2689,3.98,2.74,4.28,2.95,-0.37,-0.26,422.95,42.30
259,Exit long,2025-10-05 06:30,Long Cond TP,50.225,2.897,145.275859,0.08,0.06,2.09,1.44,-7.23,-4.97,422.85,42.29
259,Entry long,2025-10-03 00:45,buy,50.147,2.897,145.275859,0.08,0.06,2.09,1.44,-7.23,-4.97,422.85,42.29
260,Exit long,2025-10-05 06:30,Long Cond TP,50.225,3.358,165.66693,2.82,1.70,5.15,3.11,-5.65,-3.41,425.76,42.58
260,Entry long,2025-10-03 10:15,L_2,49.335,3.358,165.66693,2.82,1.70,5.15,3.11,-5.65,-3.41,425.76,42.58
261,Exit long,2025-10-05 06:30,Long Cond TP,50.225,3.932,188.897212,8.39,4.44,8.79,4.65,-1.52,-0.81,434.25,43.42
261,Entry long,2025-10-04 13:45,L_3,48.041,3.932,188.897212,8.39,4.44,8.79,4.65,-1.52,-0.81,434.25,43.42
262,Exit long,2025-10-06 20:15,Long Cond TP,48.876,2.967,145.261353,-0.39,-0.27,1.69,1.16,-4.84,-3.33,433.77,43.38
262,Entry long,2025-10-05 14:15,buy,48.959,2.967,145.261353,-0.39,-0.27,1.69,1.16,-4.84,-3.33,433.77,43.38
263,Exit long,2025-10-06 20:15,Long Cond TP,48.876,3.44,165.69104,2.28,1.37,3.45,2.08,-2.89,-1.74,436.13,43.61
263,Entry long,2025-10-05 21:00,L_2,48.166,3.44,165.69104,2.28,1.37,3.45,2.08,-2.89,-1.74,436.13,43.61
264,Exit long,2025-10-07 10:45,Long Cond SL,45.825,2.98,145.23626,-8.82,-6.07,0.42,0.29,-9.09,-6.26,427.14,42.71
264,Entry long,2025-10-07 00:15,buy,48.737,2.98,145.23626,-8.82,-6.07,0.42,0.29,-9.09,-6.26,427.14,42.71
265,Exit long,2025-10-07 10:45,Long Cond SL,45.825,3.456,165.708288,-7.5,-4.52,0.35,0.21,-7.82,-4.72,419.72,41.97
265,Entry long,2025-10-07 02:00,L_2,47.948,3.456,165.708288,-7.5,-4.52,0.35,0.21,-7.82,-4.72,419.72,41.97
266,Exit long,2025-10-07 10:45,Long Cond SL,45.825,4.046,188.90774,-3.69,-1.95,2.17,1.15,-4.06,-2.15,416.13,41.61
266,Entry long,2025-10-07 04:15,L_3,46.69,4.046,188.90774,-3.69,-1.95,2.17,1.15,-4.06,-2.15,416.13,41.61
267,Exit long,2025-10-08 13:30,Long Trail,46.597,3.176,145.23848,2.61,1.79,2.9,2.00,-3.89,-2.68,418.65,41.87
267,Entry long,2025-10-07 11:30,buy,45.73,3.176,145.23848,2.61,1.79,2.9,2.00,-3.89,-2.68,418.65,41.87
268,Exit long,2025-10-08 13:30,Long Trail,46.597,3.683,165.694487,5.75,3.47,6.1,3.68,-1.78,-1.08,424.49,42.45
268,Entry long,2025-10-07 17:30,L_2,44.989,3.683,165.694487,5.75,3.47,6.1,3.68,-1.78,-1.08,424.49,42.45
269,Exit long,2025-10-08 21:45,Long Trail,47.284,3.164,145.246584,4.21,2.90,4.51,3.10,-0.88,-0.61,428.7,42.87
269,Entry long,2025-10-08 14:45,buy,45.906,3.164,145.246584,4.21,2.90,4.51,3.10,-0.88,-0.61,428.7,42.87
270,Exit long,2025-10-09 17:30,Long Cond SL,43.524,3.136,145.256384,-8.91,-6.13,1.45,1.00,-9.64,-6.63,419.62,41.96
270,Entry long,2025-10-09 00:00,buy,46.319,3.136,145.256384,-8.91,-6.13,1.45,1.00,-9.64,-6.63,419.62,41.96
271,Exit long,2025-10-09 17:30,Long Cond SL,43.524,3.636,165.685248,-7.59,-4.58,1.12,0.68,-8.45,-5.09,412.11,41.21
271,Entry long,2025-10-09 04:00,L_2,45.568,3.636,165.685248,-7.59,-4.58,1.12,0.68,-8.45,-5.09,412.11,41.21
272,Exit long,2025-10-09 17:30,Long Cond SL,43.524,4.257,188.895861,-3.8,-2.01,2.53,1.34,-4.8,-2.54,408.4,40.84
272,Entry long,2025-10-09 12:15,L_3,44.373,4.257,188.895861,-3.8,-2.01,2.53,1.34,-4.8,-2.54,408.4,40.84
273,Exit long,2025-10-09 23:00,Long Trail,43.922,3.369,145.254435,2.57,1.77,2.87,1.97,-2.65,-1.82,410.89,41.09
273,Entry long,2025-10-09 18:15,buy,43.115,3.369,145.254435,2.57,1.77,2.87,1.97,-2.65,-1.82,410.89,41.09
274,Exit long,2025-10-09 23:00,Long Trail,43.922,3.906,165.676896,5.71,3.45,6.06,3.65,-0.34,-0.21,416.68,41.67
274,Entry long,2025-10-09 19:45,L_2,42.416,3.906,165.676896,5.71,3.45,6.06,3.65,-0.34,-0.21,416.68,41.67
275,Exit long,2025-10-10 17:00,Long Trail,45.335,3.3,145.2561,4.2,2.89,4.5,3.10,-1.94,-1.33,420.89,42.09
275,Entry long,2025-10-10 06:15,buy,44.017,3.3,145.2561,4.2,2.89,4.5,3.10,-1.94,-1.33,420.89,42.09
276,Exit long,2025-10-10 23:45,Long Cond SL,40.795,3.28,145.24496,-11.58,-7.97,0,0.00,-12.24,-8.42,409.13,40.91
276,Entry long,2025-10-10 18:00,buy,44.282,3.28,145.24496,-11.58,-7.97,0,0.00,-12.24,-8.42,409.13,40.91
