№ Сделки,Тип,Дата и время,Сигнал,Цена USDT,Размер позиции (кол-во),Размер позиции (цена),Чистая прибыль / убыток USDT,Чистая прибыль / убыток %,Благоприятное отклонение USDT,Благоприятное отклонение %,Неблагоприятное отклонение USDT,Неблагоприятное отклонение %,Совокупные ПР/УБ USDT,Совокупные ПР/УБ %
80,Exit short,2025-12-01 18:30,TP Hit,84532.8,0.011652,999.9769704,13.61,1.36,14.3,1.43,-85.3,-8.52,266.91,0.03
80,Entry short,2025-11-23 10:00,RsiSE,85820.2,0.011652,999.9769704,13.61,1.36,14.3,1.43,-85.3,-8.52,266.91,0.03
81,Exit short,2025-12-05 17:30,TP Hit,89873,0.010959,999.9177903,13.61,1.36,14.3,1.43,-33,-3.30,280.52,0.03
81,Entry short,2025-12-03 03:00,RsiSE,91241.7,0.010959,999.9177903,13.61,1.36,14.3,1.43,-33,-3.30,280.52,0.03
82,Exit short,2025-12-08 01:00,TP Hit,89480.2,0.011008,999.9986432,13.61,1.36,14.3,1.43,-2.42,-0.24,294.13,0.03
82,Entry short,2025-12-08 00:30,RsiSE,90842.9,0.011008,999.9986432,13.61,1.36,14.3,1.43,-2.42,-0.24,294.13,0.03
83,Exit short,2025-12-08 18:00,TP Hit,90153.1,0.010925,999.92155,13.61,1.36,14.3,1.43,-8.74,-0.87,307.74,0.03
83,Entry short,2025-12-08 11:00,RsiSE,91526,0.010925,999.92155,13.61,1.36,14.3,1.43,-8.74,-0.87,307.74,0.03
84,Exit short,2025-12-10 17:30,TP Hit,91644.1,0.010748,999.9906956,13.61,1.36,14.3,1.43,-3.41,-0.34,321.35,0.03
84,Entry short,2025-12-09 23:30,RsiSE,93039.7,0.010748,999.9906956,13.61,1.36,14.3,1.43,-3.41,-0.34,321.35,0.03
85,Exit short,2025-12-11 03:30,TP Hit,91023.1,0.010821,999.9610353,13.61,1.36,14.3,1.43,-4.29,-0.43,334.96,0.03
85,Entry short,2025-12-11 00:00,RsiSE,92409.3,0.010821,999.9610353,13.61,1.36,14.3,1.43,-4.29,-0.43,334.96,0.03
86,Exit short,2025-12-12 18:30,TP Hit,90171.7,0.010923,999.9449427,13.61,1.36,14.3,1.43,-13.64,-1.36,348.57,0.03
86,Entry short,2025-12-12 04:00,RsiSE,91544.9,0.010923,999.9449427,13.61,1.36,14.3,1.43,-13.64,-1.36,348.57,0.03
87,Exit short,2025-12-15 17:30,TP Hit,87936.7,0.011201,999.9793559,13.61,1.36,14.3,1.43,-8.25,-0.82,362.18,0.04
87,Entry short,2025-12-15 06:00,RsiSE,89275.9,0.011201,999.9793559,13.61,1.36,14.3,1.43,-8.25,-0.82,362.18,0.04
88,Exit long,2025-12-17 17:30,TP Hit,88294.3,0.011495,999.943153,13.59,1.36,14.3,1.43,-22.65,-2.26,375.77,0.04
88,Entry long,2025-12-15 19:00,RsiLE,86989.4,0.011495,999.943153,13.59,1.36,14.3,1.43,-22.65,-2.26,375.77,0.04
